epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.1394,1.61993,4.41229,1.77373,0.38413,0.40706,0.43022,0.24283,1.39164,2.18634,1.42704,0.00027619,0.00027619,0.00027619
2,122.864,1.45747,3.18729,1.45219,0.76942,0.77762,0.82498,0.51481,1.28359,1.5088,1.31273,0.000544718,0.000544718,0.000544718
3,178.757,1.38773,2.69685,1.37485,0.6651,0.71768,0.80863,0.54477,1.16261,1.47462,1.23611,0.000804083,0.000804083,0.000804083
4,230.17,1.34503,2.35813,1.34662,0.78013,0.75152,0.83895,0.51552,1.32053,1.10911,1.37676,0.000791767,0.000791767,0.000791767
5,285.806,1.28158,2.12012,1.31991,0.77849,0.85708,0.88535,0.56026,1.24678,1.15204,1.27732,0.000778022,0.000778022,0.000778022
6,338.671,1.26363,1.85993,1.29114,0.82352,0.80088,0.88704,0.59963,1.17922,1.00784,1.23299,0.000764278,0.000764278,0.000764278
7,391.94,1.17686,1.64644,1.2338,0.91019,0.94632,0.96267,0.65537,1.08974,0.96542,1.19775,0.000750533,0.000750533,0.000750533
8,442.669,1.20291,1.53436,1.27425,0.82573,0.96077,0.93204,0.61692,1.1314,0.99826,1.23615,0.000736788,0.000736788,0.000736788
9,495.737,1.20208,1.47635,1.23298,0.94734,0.97365,0.98893,0.69369,1.04779,0.86706,1.15216,0.000723044,0.000723044,0.000723044
10,548.575,1.15308,1.30665,1.21326,0.96415,0.98717,0.99073,0.71413,1.03727,0.67364,1.1523,0.000709299,0.000709299,0.000709299
11,600.672,1.15309,1.2369,1.21745,0.90634,0.96349,0.97373,0.67512,1.09961,0.70621,1.14718,0.000695555,0.000695555,0.000695555
12,653.887,1.1822,1.19135,1.22828,0.92847,0.99609,0.9804,0.67992,1.05794,0.68996,1.14194,0.00068181,0.00068181,0.00068181
13,707.959,1.11041,1.13447,1.1967,0.95414,0.96807,0.97867,0.70129,1.04227,0.66356,1.1175,0.000668066,0.000668066,0.000668066
14,761.409,1.09396,1.06666,1.18307,0.94039,0.96533,0.98106,0.69998,1.04192,0.65466,1.14305,0.000654321,0.000654321,0.000654321
15,815.52,1.06366,1.00026,1.17405,0.93529,0.96077,0.98431,0.71188,1.01434,0.61682,1.11343,0.000640577,0.000640577,0.000640577
16,869.297,1.07111,0.98077,1.16384,0.97407,0.98434,0.98247,0.70447,1.03,0.60957,1.12381,0.000626832,0.000626832,0.000626832
17,927.269,1.05721,0.92927,1.1469,0.9586,0.99049,0.98764,0.69958,1.03575,0.60163,1.13848,0.000613088,0.000613088,0.000613088
18,981.579,1.05274,0.93256,1.15261,0.96563,0.9677,0.98768,0.69429,1.01662,0.59321,1.11276,0.000599343,0.000599343,0.000599343
19,1027.33,1.02531,0.84757,1.13974,0.96275,0.98778,0.98621,0.7025,0.98981,0.5924,1.10143,0.000585599,0.000585599,0.000585599
20,1074.85,1.00241,0.8449,1.13188,0.9683,0.99397,0.99257,0.72593,0.99016,0.53793,1.09715,0.000571854,0.000571854,0.000571854
21,1123.13,1.03468,0.88083,1.14961,0.96946,0.96477,0.98364,0.71726,0.98859,0.56183,1.09888,0.00055811,0.00055811,0.00055811
22,1167.14,1.05272,0.80862,1.14154,0.97425,0.97064,0.98381,0.71841,0.99435,0.53211,1.08933,0.000544365,0.000544365,0.000544365
23,1211.17,1.03374,0.80313,1.14028,0.97327,0.96663,0.99247,0.72076,1.01175,0.56209,1.1058,0.000530621,0.000530621,0.000530621
24,1256.88,1.00474,0.77183,1.1319,0.97968,0.97747,0.99302,0.71301,0.97572,0.5133,1.1093,0.000516877,0.000516877,0.000516877
25,1302.69,0.96252,0.74067,1.09085,0.98861,0.97584,0.99233,0.73281,0.95125,0.49898,1.09032,0.000503132,0.000503132,0.000503132
26,1349.02,0.98728,0.74674,1.11941,0.98136,0.98942,0.99427,0.72726,1.00308,0.51148,1.09498,0.000489387,0.000489387,0.000489387
27,1393.44,0.99214,0.75442,1.12153,0.98399,0.98116,0.99374,0.73289,0.9827,0.4934,1.08923,0.000475643,0.000475643,0.000475643
28,1437.09,0.92221,0.68059,1.07808,0.97651,0.97226,0.99078,0.73002,0.95102,0.49202,1.08312,0.000461898,0.000461898,0.000461898
29,1481.84,0.9649,0.69883,1.08865,0.97577,0.97621,0.97944,0.72689,0.94696,0.48707,1.07589,0.000448154,0.000448154,0.000448154
30,1527.65,0.96514,0.6964,1.11116,0.98706,0.98741,0.99006,0.72661,0.98179,0.46147,1.09494,0.000434409,0.000434409,0.000434409
31,1572.16,0.94409,0.65867,1.10136,0.98692,0.98589,0.99404,0.75147,0.94045,0.46812,1.07248,0.000420665,0.000420665,0.000420665
32,1618.95,0.93762,0.68305,1.09597,0.97877,0.9782,0.99193,0.73274,0.96889,0.49594,1.08503,0.00040692,0.00040692,0.00040692
33,1664.13,0.95083,0.64623,1.09533,0.98561,0.97021,0.9878,0.71894,0.9854,0.49732,1.1121,0.000393176,0.000393176,0.000393176
34,1711.29,0.91805,0.61751,1.07294,0.98383,0.97828,0.99071,0.74577,0.93135,0.46388,1.05908,0.000379431,0.000379431,0.000379431
35,1755.02,0.90472,0.60294,1.05737,0.9892,0.98743,0.99217,0.74285,0.93257,0.43801,1.05538,0.000365687,0.000365687,0.000365687
36,1800.49,0.92283,0.60384,1.07945,0.98514,0.98588,0.99299,0.75022,0.915,0.4332,1.05112,0.000351942,0.000351942,0.000351942
37,1844.64,0.89396,0.60431,1.06944,0.99036,0.99442,0.99331,0.74411,0.93676,0.41903,1.06623,0.000338198,0.000338198,0.000338198
38,1889.54,0.87237,0.59838,1.04919,0.99084,0.98196,0.99299,0.74057,0.94148,0.43415,1.0668,0.000324453,0.000324453,0.000324453
39,1934.64,0.89022,0.60382,1.05861,0.98934,0.99114,0.99316,0.72595,0.93094,0.44569,1.07805,0.000310709,0.000310709,0.000310709
40,1978.81,0.91258,0.61642,1.07786,0.98099,0.99515,0.9908,0.74881,0.92939,0.42624,1.05254,0.000296964,0.000296964,0.000296964
41,2022.53,0.88798,0.57925,1.0545,0.97808,0.99327,0.99152,0.74555,0.92323,0.42425,1.06225,0.00028322,0.00028322,0.00028322
42,2276.36,0.8792,0.57198,1.04619,0.98794,0.99207,0.99207,0.7577,0.9094,0.41286,1.0467,0.000269475,0.000269475,0.000269475
43,2381.16,0.85718,0.54672,1.04712,0.99061,0.98873,0.99234,0.74786,0.9333,0.41822,1.05511,0.000255731,0.000255731,0.000255731
44,2416.42,0.8747,0.54578,1.04058,0.9847,0.99093,0.99276,0.75122,0.92453,0.40367,1.04738,0.000241986,0.000241986,0.000241986
45,2450.62,0.85845,0.54322,1.04715,0.98875,0.98419,0.99207,0.75962,0.89739,0.4172,1.03645,0.000228242,0.000228242,0.000228242
46,2483.99,0.86467,0.5638,1.04497,0.97855,0.98729,0.98968,0.74982,0.91162,0.41962,1.03842,0.000214497,0.000214497,0.000214497
47,2517.26,0.82142,0.49618,1.02535,0.98874,0.98631,0.99142,0.75657,0.9067,0.41195,1.03843,0.000200753,0.000200753,0.000200753
48,2550.44,0.83773,0.53547,1.03756,0.99156,0.9938,0.99234,0.76139,0.90154,0.3891,1.03836,0.000187008,0.000187008,0.000187008
49,2583.7,0.83864,0.5245,1.03227,0.99192,0.99286,0.99207,0.75539,0.90925,0.38168,1.04148,0.000173264,0.000173264,0.000173264
50,2616.8,0.82824,0.50049,1.02289,0.98708,0.9916,0.9927,0.75961,0.89922,0.39246,1.03109,0.00015952,0.00015952,0.00015952
51,2690.74,0.76544,0.41124,0.99107,0.98347,0.98368,0.99173,0.75124,0.91219,0.39247,1.04421,0.000145775,0.000145775,0.000145775
52,2724.68,0.75982,0.40608,0.98493,0.98628,0.99223,0.98589,0.74908,0.90271,0.39664,1.04065,0.000132031,0.000132031,0.000132031
53,2757.4,0.75082,0.39554,0.97216,0.98998,0.99185,0.98634,0.74878,0.90745,0.39913,1.0355,0.000118286,0.000118286,0.000118286
54,2791.99,0.74445,0.3971,0.96929,0.9906,0.99038,0.99134,0.75306,0.90952,0.39442,1.03591,0.000104542,0.000104542,0.000104542
55,2825.26,0.73916,0.3882,0.97295,0.99135,0.99056,0.99153,0.75397,0.89852,0.38364,1.03451,9.0797e-05,9.0797e-05,9.0797e-05
56,2858.82,0.7322,0.37891,0.95983,0.99258,0.98958,0.99187,0.75245,0.91391,0.37704,1.04547,7.70525e-05,7.70525e-05,7.70525e-05
57,2891.74,0.74357,0.38086,0.98033,0.99021,0.99341,0.99187,0.76139,0.88549,0.36774,1.03189,6.3308e-05,6.3308e-05,6.3308e-05
58,2925.27,0.72526,0.38243,0.96685,0.98765,0.99479,0.99181,0.76074,0.88776,0.37013,1.03213,4.95635e-05,4.95635e-05,4.95635e-05
59,2958.42,0.71084,0.36784,0.96165,0.98703,0.99401,0.99187,0.76413,0.88872,0.3669,1.03122,3.5819e-05,3.5819e-05,3.5819e-05
60,2992.36,0.70821,0.36313,0.95655,0.98777,0.9926,0.99215,0.76316,0.88778,0.36663,1.03206,2.20745e-05,2.20745e-05,2.20745e-05
